StateName,total_queries,unique_crops,unique_districts
UTTAR PRADESH,7468906,608,80
RAJASTHAN,5201566,489,33
MAHARASHTRA,4578311,597,36
MADHYA PRADESH,3943548,552,51
HARYANA,3133587,526,22
PUNJAB,2554652,469,23
BIHAR,2250889,484,38
GUJARAT,1993378,542,33
TAMILNADU,1926781,563,39
KARNATAKA,1746254,532,30
ODISHA,1626698,470,30
ANDHRA PRADESH,1211477,471,13
WEST BENGAL,1207284,424,20
HIMACHAL PRADESH,629914,434,12
JAMMU AND KASHMIR,528168,433,22
CHHATTISGARH,484617,364,27
JHARKAND,339720,392,24
TELANGANA,312368,343,32
UTTARAKHAND,283318,445,13
KERALA,239146,394,14
ASSAM,237246,403,27
DELHI,137978,406,9
TRIPURA,39503,287,8
PUDUCHERRY,15435,229,4
MANIPUR,11383,249,9
MEGHALAYA,6197,212,12
MIZORAM,5755,129,8
SIKKIM,4137,151,8
NAGALAND,2327,153,11
ARUNACHAL PRADESH,2067,173,17
A AND N ISLANDS,1547,144,3
DAMAN AND DIU,339,48,2
GOA,183,27,2
DADRA AND NAGAR HAVELI,43,9,1
