QueryType,2021,2025,growth_pct
Post Harvest Preservation,487.0,23171.0,4657.905544147844
Credit,4714.0,28280.0,499.9151463725075
Training and Exposure Visits,10785.0,42870.0,297.4965229485397
Water Management,13548.0,25480.0,88.07204015352819
Sowing Time and Weather,27187.0,47008.0,72.90616838930372
Cultural Practices,84243.0,143999.0,70.9328965017865
Storage,476.0,715.0,50.21008403361344
Weed Management,36089.0,47848.0,32.58333564243953
Government Schemes,321792.0,396840.0,23.32189737470167
Landscaping,49.0,53.0,8.16326530612245
Fertilizer Use and Availability,69741.0,67256.0,-3.563183779985948
Coastal Aquaculture,13.0,12.0,-7.6923076923076925
Water Management Micro Irrigation,3708.0,3329.0,-10.221143473570658
Nutrient Management,118612.0,103611.0,-12.647118335412944
Animal Nutrition,1071.0,899.0,-16.059757236227824
Mushroom Production,218.0,171.0,-21.55963302752294
Nursery Management,2300.0,1742.0,-24.26086956521739
Agriculture Mechanization,4434.0,3200.0,-27.83040144339197
Artificial Insemination,98.0,67.0,-31.63265306122449
Floriculture,93.0,63.0,-32.25806451612903
Beekeeping,37.0,25.0,-32.432432432432435
Soil Testing,3379.0,2235.0,-33.8561704646345
Organic Farming,4033.0,2548.0,-36.82122489461939
Fish  Marketing,64.0,40.0,-37.5
Varieties,52369.0,31341.0,-40.153525940919245
Bio-Pesticides and Bio-Fertilizers,5078.0,2931.0,-42.280425364316656
Breeding and culture of ornamental fish,28.0,16.0,-42.857142857142854
Seeds and Planting Material,21435.0,12232.0,-42.9344529974341
Cattle shed Planning and Management,1339.0,749.0,-44.06273338312173
Dairy Production,917.0,512.0,-44.165757906215916
Cold Storage,133.0,73.0,-45.11278195488722
Seeds,20303.0,11015.0,-45.74693395064769
Fishing Harbours and Landing Centre,15.0,8.0,-46.666666666666664
Integrated Farming,205.0,106.0,-48.292682926829265
Fish Fingerling Production,309.0,157.0,-49.19093851132686
Medicinal and Aromatic Plants,146.0,72.0,-50.68493150684932
Animal Breeding,525.0,258.0,-50.857142857142854
Disease Management,3385.0,1608.0,-52.49630723781389
Livestock Products Processing and Packaging,384.0,177.0,-53.90625
Disease Reporting,1049.0,482.0,-54.05147759771211
Water Testing for Fish Production,133.0,61.0,-54.13533834586466
Post Harvest Management Cleaning Grading Packaging Food Processing Cool Chain etc,744.0,331.0,-55.51075268817204
Soil Health Card,1442.0,567.0,-60.679611650485434
Fish Dressing   Drying,13.0,5.0,-61.53846153846154
Field Preparation,4146.0,1521.0,-63.31403762662807
Spices and Condiment Crops,501.0,181.0,-63.87225548902195
Market Information,76661.0,27652.0,-63.92950783318767
Seaweed Cultivation,9.0,3.0,-66.66666666666666
Vegetative Propagation and Tissue Culture,4084.0,1300.0,-68.16846229187071
Freshwater pearl culture,22.0,7.0,-68.18181818181817
Fishery Mechanization,64.0,19.0,-70.3125
Weather,633946.0,182082.0,-71.27799528666479
Fishery Nutrition,284.0,78.0,-72.53521126760563
Plasticulture,95.0,26.0,-72.63157894736842
Magur Breeding and Culture,23.0,5.0,-78.26086956521739
Crop Insurance,18658.0,3958.0,-78.78657948333154
Deep Sea Fishing and Processing,13.0,2.0,-84.61538461538461
Plant Protection,374623.0,41793.0,-88.84398448573633
Power Roads etc,569.0,57.0,-89.98242530755711
Freshwater Pearl Farming,42.0,4.0,-90.47619047619048
Animal Production Piggery Goatery Sheep Farming etc,1384.0,131.0,-90.53468208092485
0,247.0,23.0,-90.68825910931174
Tank Pond and Reservoir Management,988.0,74.0,-92.51012145748987
OldSenile Orchard Rejuvenation,44.0,2.0,-95.45454545454545
