QueryType,count
Weather,15059237
Plant Protection,8019579
Government Schemes,4616143
Cultural Practices,1619949
Nutrient Management,1594850
Fertilizer Use and Availability,1483578
Market Information,1225340
Varieties,886507
Weed Management,705494
Seeds,400616
Seeds and Planting Material,386472
3,376561
Field Preparation,354614
Sowing Time and Weather,337977
Water Management,331757
9999,291800
76,274129
0,256007
75,255129
2,245453
Bio-Pesticides and Bio-Fertilizers,244025
5,240736
29,222076
Training and Exposure Visits,214565
Agriculture Mechanization,197038
Crop Insurance,186906
	Plant Protection	,168432
Soil Testing,141567
Credit,114755
	Water Management	,109589
22,100285
Disease Management,96003
78,84512
Vegetative Propagation and Tissue Culture,70728
6,67188
Post Harvest Preservation,63898
1,62118
Dairy Production,61627
99,61127
Organic Farming,53760
Water Management Micro Irrigation,50054
102,49435
74,45042
Animal Breeding,33646
19,31480
Nursery Management,31285
21,30160
Animal Production Piggery Goatery Sheep Farming etc,29362
Tank Pond and Reservoir Management,28376
Animal Nutrition,27433
87,26632
15,26280
Cattle shed Planning and Management,19388
8,18096
45,17838
Disease Reporting,17593
Soil Health Card,17172
Storage,16952
26,16344
18,15888
92,15543
85,14088
Livestock Products Processing and Packaging,13286
Power Roads etc,13242
95,11651
"Water Management, Micro Irrigation",10809
Spices and Condiment Crops,10362
27,10212
Post Harvest Management Cleaning Grading Packaging Food Processing Cool Chain etc,9652
9,9174
12,8727
100,8103
20,7634
Integrated Farming,7609
93,7581
Fishery Nutrition,7497
Mushroom Production,6932
Floriculture,5684
43,4871
91,4507
88,4454
Water Testing for Fish Production,4317
Fish Fingerling Production,4233
Medicinal and Aromatic Plants,3875
Cold Storage,3632
Fishery Mechanization,3597
Fish  Marketing,3426
89,3272
16,3054
Beekeeping,2936
"Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)",2912
Breeding and culture of ornamental fish,2791
50,2735
94,2719
Poultry,2650
	Field Preparation	,2467
36,2438
Artificial Insemination,2416
Coastal Aquaculture,2357
10,2153
Plasticulture,2085
38,2069
44,1999
40,1988
Landscaping,1987
61,1882
NA (Not Applicable),1793
31,1710
Others,1673
Breeding of freshwater prawn,1637
32,1575
11,1428
OldSenile Orchard Rejuvenation,1176
60,1119
Cultivation Conditions,1089
Training,1063
58,1062
84,1047
Freshwater Pearl Farming,1020
Fish Dressing   Drying,967
Nutrient Deficiency/Excessiveness Management,901
Freshwater pearl culture,817
83,798
34,737
Insect Management,708
"Animal Production (Piggery, Goatery, Sheep Farming etc.)",690
51,667
56,658
57,642
Management,618
Magur Breeding and Culture,542
33,504
Deep Sea Fishing and Processing,453
52,423
39,394
90,386
Disease,379
Fishing Harbours and Landing Centre,367
"Tank, Pond and Reservoir Management",350
"Power, Roads etc.",317
17,309
Seaweed Cultivation,308
Pathogenic Disease Management,302
53,286
Loans ,265
Varities,214
Feed,168
37,151
55,139
Seed Sowing And Treatment,131
Varietal Selection,109
54,83
	Cultivation Conditions	,35
Irrigation Management,32
49,30
Dosage,30
46,25
48,24
Freshwater Pearl Farming.,22
	Others	,22
Old/Senile Orchard Rejuvenation,20
47,18
Hormone Imbalance Management,16
59,14
Post Harvest Management - Biotic,14
Abiotic Stress Management,13
Post Harvest Management - Abiotic,10
Harvesting Management,7
	Disease	,4
Method Of Propagation- Others,4
	Dosage	,2
Hormonic Imbalance,2
Disease (Viral),2
	Management	,2
Disease (Bacterial),2
	Varities	,1
Vaccine - Viral,1
Problem Of Soil,1
Breeding -Inbreeding,1
	Training	,1
Disease - External Parasitic,1
